ticker,company_name,cik,exchange,weight_pct,market_value,shares,currency,as_of_date,notes
NVDA,,0001045810,,5,,,,,
AAPL,,0000320193,,5,,,,,
MSFT,,0000789019,,5,,,,,
GOOGL,,0001652044,,5,,,,,
AMZN,,0001018724,,5,,,,,
AVGO,,0001730168,,2,,,,,
META,,0001326801,,2,,,,,
MU,,0000723125,,2,,,,,
TSLA,,0001318605,,2,,,,,
JPM,,0000019617,,2,,,,,
BRK-B,,0001067983,,2,,,,,
LLY,,0000059478,,2,,,,,
AMD,,0000002488,,2,,,,,
XOM,,0002115436,,2,,,,,
JNJ,,0000200406,,2,,,,,
V,,0001403161,,2,,,,,
INTC,,0000050863,,2,,,,,
WMT,,0000104169,,2,,,,,
MA,,0001141391,,2,,,,,
ABBV,,0001551152,,2,,,,,
CSCO,,0000858877,,1,,,,,
BAC,,0000070858,,1,,,,,
COST,,0000909832,,1,,,,,
CVX,,0000093410,,1,,,,,
PLTR,,0001321655,,1,,,,,
CAT,,0000018230,,1,,,,,
LRCX,,0000707549,,1,,,,,
AMAT,,0000006951,,1,,,,,
MRK,,0000310158,,1,,,,,
UNH,,0000731766,,1,,,,,
KO,,0000021344,,1,,,,,
PG,,0000080424,,1,,,,,
GE,,0000040545,,1,,,,,
NFLX,,0001065280,,1,,,,,
HD,,0000354950,,1,,,,,
GS,,0000886982,,1,,,,,
PM,,0001413329,,1,,,,,
WFC,,0000072971,,1,,,,,
PANW,,0001327567,,1,,,,,
RTX,,0000101829,,1,,,,,
GEV,,0001996810,,1,,,,,
MS,,0000895421,,1,,,,,
ORCL,,0001341439,,1,,,,,
TXN,,0000097476,,1,,,,,
SNDK,,0002023554,,1,,,,,
C,,0000831001,,1,,,,,
KLAC,,0000319201,,1,,,,,
IBM,,0000051143,,1,,,,,
TMO,,0000097745,,1,,,,,
LIN,,0001707925,,1,,,,,
VZ,,0000732712,,0.3,,,,,
CRWD,,0001535527,,0.3,,,,,
MRVL,,0001835632,,0.3,,,,,
APH,,0000820313,,0.3,,,,,
ANET,,0001596532,,0.3,,,,,
AMGN,,0000318154,,0.3,,,,,
CRM,,0001108524,,0.3,,,,,
QCOM,,0000804328,,0.3,,,,,
PEP,,0000077476,,0.3,,,,,
STX,,0001137789,,0.3,,,,,
DIS,,0001744489,,0.3,,,,,
ADI,,0000006281,,0.3,,,,,
T,,0000732717,,0.3,,,,,
MCD,,0000063908,,0.3,,,,,
GILD,,0000882095,,0.3,,,,,
ABT,,0000001800,,0.3,,,,,
SCHW,,0000316709,,0.3,,,,,
AXP,,0000004962,,0.3,,,,,
NEE,,0000753308,,0.3,,,,,
DE,,0000315189,,0.3,,,,,
UNP,,0000100885,,0.3,,,,,
COP,,0001163165,,0.3,,,,,
WELL,,0000766704,,0.3,,,,,
BA,,0000012927,,0.3,,,,,
ETN,,0001551182,,0.3,,,,,
DELL,,0001571996,,0.3,,,,,
PFE,,0000078003,,0.3,,,,,
BLK,,0002012383,,0.3,,,,,
WDC,,0000106040,,0.3,,,,,
UBER,,0001543151,,0.3,,,,,
TJX,,0000109198,,0.3,,,,,
NOW,,0001373715,,0.3,,,,,
NEM,,0001164727,,0.3,,,,,
BKNG,,0001075531,,0.3,,,,,
VRTX,,0000875320,,0.3,,,,,
ISRG,,0001035267,,0.3,,,,,
GLW,,0000024741,,0.3,,,,,
BMY,,0000014272,,0.3,,,,,
COF,,0000927628,,0.3,,,,,
PLD,,0001045609,,0.3,,,,,
PGR,,0000080661,,0.3,,,,,
DHR,,0000313616,,0.3,,,,,
SPGI,,0000064040,,0.3,,,,,
CB,,0000896159,,0.3,,,,,
CVS,,0000064803,,0.3,,,,,
PH,,0000076334,,0.3,,,,,
MDT,,0001613103,,0.3,,,,,
VLO,,0001035002,,0.3,,,,,
MPC,,0001510295,,0.3,,,,,
MO,,0000764180,,0.3,,,,,
